Page, Page to Image Conversion Time (s), Image to Markdown Generation Time (s), Total Page Time (s)
   1,                              0.18,                                 25.33,               25.51
   2,                              0.29,                                 44.33,               44.62
   3,                              0.17,                                 44.21,               44.38
   4,                              0.17,                                 44.67,               44.84
   5,                              0.25,                                 35.51,               35.77
   6,                              0.16,                                 40.22,               40.38
   7,                              0.17,                                 46.51,               46.69
   8,                              0.18,                                 43.91,               44.10
   9,                              0.16,                                 38.11,               38.27
  10,                              0.15,                                 58.40,               58.56
  11,                              0.16,                                 47.12,               47.28
  12,                              0.16,                                 43.72,               43.88
  13,                              0.15,                                 35.58,               35.74
  14,                              0.15,                                 34.76,               34.91
  15,                              0.16,                                 42.65,               42.81
  16,                              0.16,                                 44.51,               44.67
  17,                              0.26,                                 29.59,               29.85
  18,                              0.16,                                 56.57,               56.73
  19,                              0.16,                                 39.21,               39.37
  20,                              0.16,                                 54.72,               54.88
  21,                              0.15,                                 51.66,               51.81
  22,                              0.15,                                 56.97,               57.12
  23,                              0.15,                                 41.34,               41.50
  24,                              0.17,                                 47.47,               47.65
  25,                              0.16,                                 44.88,               45.05
  26,                              0.15,                                 58.05,               58.20
  27,                              0.16,                                 37.97,               38.12
  28,                              0.15,                                 33.78,               33.93
  29,                              0.15,                                 31.33,               31.48
  30,                              0.16,                                 56.67,               56.83
  31,                              0.15,                                 56.44,               56.59
  32,                              0.16,                                 45.58,               45.74
  33,                              0.16,                                 52.12,               52.28
  34,                              0.16,                                 37.34,               37.50
  35,                              0.16,                                 44.84,               45.00
  36,                              0.16,                                 54.65,               54.81
  37,                              0.16,                                 45.14,               45.30
  38,                              0.25,                                 37.38,               37.63
  39,                              0.16,                                 49.13,               49.29
  40,                              0.15,                                 43.59,               43.74
  41,                              0.17,                                 33.22,               33.39
  42,                              0.15,                                 43.46,               43.61
  43,                              0.15,                                 51.49,               51.65
  44,                              0.15,                                 30.77,               30.92
  45,                              0.16,                                 48.98,               49.14
  46,                              0.16,                                 59.89,               60.05
  47,                              0.17,                                 40.16,               40.32
  48,                              0.15,                                 33.96,               34.11
  49,                              0.16,                                 67.45,               67.61
  50,                              0.17,                                 44.72,               44.89
  51,                              0.16,                                 41.54,               41.69
  52,                              0.15,                                 35.91,               36.06
  53,                              0.16,                                 37.85,               38.02
  54,                              0.16,                                 32.46,               32.62
  55,                              0.16,                                 84.58,               84.74
  56,                              0.16,                                 42.13,               42.29
  57,                              0.15,                                 31.68,               31.83
  58,                              0.16,                                 60.26,               60.42
  59,                              0.16,                                 36.10,               36.26
  60,                              0.15,                                 39.03,               39.18
  61,                              0.25,                                 63.19,               63.44
  62,                              0.16,                                 37.26,               37.42
  63,                              0.15,                                 31.11,               31.26
  64,                              0.26,                                 71.72,               71.98
  65,                              0.25,                                 46.36,               46.62
  66,                              0.18,                                 40.50,               40.67
  67,                              0.16,                                 48.97,               49.13
  68,                              0.16,                                 63.19,               63.36
  69,                              0.16,                                 51.34,               51.50
  70,                              0.26,                                 61.96,               62.22
  71,                              0.15,                                 54.65,               54.81
  72,                              0.16,                                 55.05,               55.21
  73,                              0.17,                                 47.69,               47.87
  74,                              0.16,                                 51.62,               51.79
