Page, Page to Image Conversion Time (s), Image to Markdown Generation Time (s), Total Page Time (s)
   1,                              0.66,                                 32.75,               33.42
   2,                              0.16,                                 11.44,               11.60
   3,                              0.15,                                 48.50,               48.64
   4,                              0.14,                                 55.24,               55.38
   5,                              0.15,                                 52.15,               52.30
   6,                              0.21,                                 80.19,               80.40
   7,                              0.23,                                 51.15,               51.38
   8,                              0.14,                                 53.41,               53.55
   9,                              0.21,                                 47.45,               47.66
  10,                              0.13,                                 29.30,               29.43
  11,                              0.20,                                 36.95,               37.14
  12,                              0.16,                                 44.44,               44.60
  13,                              0.20,                                 50.50,               50.71
  14,                              0.17,                                 33.29,               33.46
  15,                              0.18,                                 44.69,               44.87
  16,                              0.15,                                 46.40,               46.56
  17,                              0.26,                                 78.87,               79.13
  18,                              0.22,                                 54.41,               54.63
  19,                              0.18,                                 31.62,               31.80
  20,                              0.20,                                 51.93,               52.12
  21,                              0.11,                                 32.87,               32.98
